Date,Stock,Direction,Predicted,Confidence
2025-01-06,ASIANPAINT,1,1,0.5229673820157562
2025-01-07,ASIANPAINT,1,1,0.5191962136199498
2025-01-08,ASIANPAINT,1,1,0.5199141110379569
2025-01-09,ASIANPAINT,-1,1,0.5191962136199498
2025-01-10,ASIANPAINT,-1,1,0.5191962136199498
2025-01-13,ASIANPAINT,-1,1,0.5315143905627648
2025-01-14,ASIANPAINT,-1,1,0.5191962136199498
2025-01-15,ASIANPAINT,-1,1,0.5191962136199498
2025-01-16,ASIANPAINT,1,1,0.5191962136199498
2025-01-17,ASIANPAINT,1,1,0.5191962136199498
2025-01-20,ASIANPAINT,-1,1,0.5191962136199498
2025-01-21,ASIANPAINT,1,1,0.5191962136199498
2025-01-22,ASIANPAINT,1,1,0.5191962136199498
2025-01-23,ASIANPAINT,-1,1,0.5191962136199498
2025-01-24,ASIANPAINT,-1,1,0.5191962136199498
2025-01-27,ASIANPAINT,-1,1,0.5199141110379569
2025-01-28,ASIANPAINT,-1,1,0.5199141110379569
2025-01-29,ASIANPAINT,1,1,0.5191962136199498
2025-01-30,ASIANPAINT,1,1,0.5191962136199498
2025-01-31,ASIANPAINT,1,1,0.5315143905627648
2025-02-01,ASIANPAINT,-1,1,0.5191962136199498
2025-02-03,ASIANPAINT,1,1,0.5191962136199498
2025-02-04,ASIANPAINT,-1,1,0.5074771082473367
2025-02-05,ASIANPAINT,-1,1,0.5315143905627648
2025-02-06,ASIANPAINT,1,1,0.5074771082473367
2025-02-07,ASIANPAINT,-1,1,0.5315143905627648
2025-02-10,ASIANPAINT,-1,1,0.5191962136199498
2025-02-11,ASIANPAINT,-1,1,0.5191962136199498
2025-02-12,ASIANPAINT,1,1,0.5315143905627648
2025-02-13,ASIANPAINT,-1,1,0.5191962136199498
2025-02-14,ASIANPAINT,1,1,0.5191962136199498
2025-02-17,ASIANPAINT,-1,1,0.5191962136199498
2025-02-18,ASIANPAINT,1,1,0.5074771082473367
2025-02-19,ASIANPAINT,1,1,0.5199141110379569
2025-02-20,ASIANPAINT,1,1,0.5191962136199498
2025-02-21,ASIANPAINT,-1,1,0.5191962136199498
2025-02-24,ASIANPAINT,-1,1,0.5191962136199498
2025-02-25,ASIANPAINT,-1,1,0.5199141110379569
2025-02-27,ASIANPAINT,-1,1,0.5229673820157562
2025-02-28,ASIANPAINT,-1,1,0.5315143905627648
2025-03-03,ASIANPAINT,-1,1,0.5315143905627648
2025-03-04,ASIANPAINT,1,1,0.5074771082473367
2025-03-05,ASIANPAINT,1,1,0.5191962136199498
2025-03-06,ASIANPAINT,1,1,0.5315143905627648
2025-03-07,ASIANPAINT,1,1,0.5191962136199498
2025-03-10,ASIANPAINT,1,1,0.5191962136199498
2025-03-11,ASIANPAINT,-1,1,0.5191962136199498
2025-03-12,ASIANPAINT,-1,1,0.5191962136199498
2025-03-13,ASIANPAINT,-1,1,0.5191962136199498
2025-03-17,ASIANPAINT,-1,1,0.5191962136199498
2025-03-18,ASIANPAINT,1,1,0.5229673820157562
2025-03-19,ASIANPAINT,1,1,0.5191962136199498
2025-03-20,ASIANPAINT,1,1,0.5191962136199498
2025-03-21,ASIANPAINT,1,1,0.5191962136199498
2025-03-24,ASIANPAINT,1,1,0.5191962136199498
2025-03-25,ASIANPAINT,-1,1,0.5191962136199498
2025-03-26,ASIANPAINT,1,1,0.5191962136199498
2025-03-27,ASIANPAINT,1,1,0.5191962136199498
2025-03-28,ASIANPAINT,-1,1,0.5191962136199498
2025-04-01,ASIANPAINT,-1,1,0.5191962136199498
2025-04-02,ASIANPAINT,1,1,0.5199141110379569
2025-04-03,ASIANPAINT,1,1,0.5191962136199498
2025-04-04,ASIANPAINT,-1,1,0.5191962136199498
2025-04-07,ASIANPAINT,1,1,0.5191962136199498
2025-04-08,ASIANPAINT,1,1,0.5191962136199498
2025-04-09,ASIANPAINT,-1,1,0.5074771082473367
2025-04-11,ASIANPAINT,1,1,0.5191962136199498
2025-04-15,ASIANPAINT,1,1,0.5191962136199498
2025-04-16,ASIANPAINT,1,1,0.5191962136199498
2025-04-17,ASIANPAINT,-1,1,0.5191962136199498
2025-04-21,ASIANPAINT,-1,1,0.5191962136199498
2025-04-22,ASIANPAINT,1,1,0.5191962136199498
2025-04-23,ASIANPAINT,1,1,0.5191962136199498
2025-04-24,ASIANPAINT,-1,1,0.5191962136199498
2025-04-25,ASIANPAINT,1,1,0.5191962136199498
2025-04-28,ASIANPAINT,-1,1,0.5191962136199498
2025-04-29,ASIANPAINT,-1,1,0.5191962136199498
2025-04-30,ASIANPAINT,-1,1,0.5191962136199498
2025-05-02,ASIANPAINT,1,1,0.5199141110379569
2025-05-05,ASIANPAINT,-1,1,0.5074771082473367
2025-05-06,ASIANPAINT,-1,1,0.5315143905627648
2025-05-07,ASIANPAINT,-1,1,0.5191962136199498
2025-05-08,ASIANPAINT,-1,1,0.5315143905627648
2025-05-09,ASIANPAINT,1,1,0.5315143905627648
2025-05-12,ASIANPAINT,-1,1,0.5229673820157562
2025-05-13,ASIANPAINT,-1,1,0.5191962136199498
2025-05-14,ASIANPAINT,1,1,0.5191962136199498
2025-05-15,ASIANPAINT,1,1,0.5229673820157562
2025-05-16,ASIANPAINT,-1,1,0.5191962136199498
2025-05-19,ASIANPAINT,-1,1,0.5191962136199498
2025-05-20,ASIANPAINT,1,1,0.5229673820157562
2025-05-21,ASIANPAINT,-1,1,0.5229673820157562
2025-05-22,ASIANPAINT,1,1,0.5191962136199498
2025-05-23,ASIANPAINT,1,1,0.5191962136199498
2025-05-26,ASIANPAINT,1,1,0.5191962136199498
2025-05-27,ASIANPAINT,-1,1,0.5191962136199498
2025-05-28,ASIANPAINT,-1,1,0.5191962136199498
2025-05-29,ASIANPAINT,-1,1,0.5315143905627648
2025-05-30,ASIANPAINT,1,1,0.5315143905627648
2025-06-02,ASIANPAINT,-1,1,0.5315143905627648
2025-06-03,ASIANPAINT,-1,1,0.5191962136199498
2025-06-04,ASIANPAINT,-1,1,0.5191962136199498
2025-06-05,ASIANPAINT,1,1,0.5191962136199498
2025-06-06,ASIANPAINT,1,1,0.5229673820157562
2025-06-09,ASIANPAINT,-1,1,0.5191962136199498
2025-06-10,ASIANPAINT,-1,1,0.5191962136199498
2025-06-11,ASIANPAINT,1,1,0.5191962136199498
2025-06-12,ASIANPAINT,-1,1,0.5315143905627648
2025-06-13,ASIANPAINT,1,1,0.5315143905627648
2025-06-16,ASIANPAINT,1,1,0.5315143905627648
2025-06-17,ASIANPAINT,1,1,0.5191962136199498
2025-06-18,ASIANPAINT,-1,1,0.5191962136199498
2025-06-19,ASIANPAINT,1,1,0.5191962136199498
2025-06-20,ASIANPAINT,-1,1,0.5315143905627648
2025-06-23,ASIANPAINT,1,1,0.5191962136199498
2025-06-24,ASIANPAINT,1,1,0.5074771082473367
2025-06-25,ASIANPAINT,1,1,0.5191962136199498
2025-06-26,ASIANPAINT,1,1,0.5191962136199498
2025-06-27,ASIANPAINT,-1,1,0.5191962136199498
2025-06-30,ASIANPAINT,1,1,0.5191962136199498
2025-07-01,ASIANPAINT,1,1,0.5315143905627648
2025-07-02,ASIANPAINT,1,1,0.5315143905627648
2025-07-03,ASIANPAINT,-1,1,0.5191962136199498
2025-07-04,ASIANPAINT,1,1,0.5191962136199498
2025-07-07,ASIANPAINT,1,1,0.5074771082473367
2025-07-08,ASIANPAINT,1,1,0.5191962136199498
2025-07-09,ASIANPAINT,-1,1,0.5074771082473367
2025-07-10,ASIANPAINT,-1,1,0.5191962136199498
2025-07-11,ASIANPAINT,-1,1,0.5199141110379569
2025-07-14,ASIANPAINT,-1,1,0.5315143905627648
2025-07-15,ASIANPAINT,1,1,0.5199141110379569
2025-07-16,ASIANPAINT,-1,1,0.5191962136199498
2025-07-17,ASIANPAINT,-1,1,0.5191962136199498
2025-07-18,ASIANPAINT,-1,1,0.5191962136199498
2025-07-21,ASIANPAINT,-1,1,0.5191962136199498
2025-07-22,ASIANPAINT,1,1,0.5191962136199498
2025-07-23,ASIANPAINT,-1,1,0.5191962136199498
2025-07-24,ASIANPAINT,-1,1,0.5191962136199498
2025-07-25,ASIANPAINT,1,1,0.5191962136199498
2025-07-28,ASIANPAINT,1,1,0.5315143905627648
2025-07-29,ASIANPAINT,1,1,0.5315143905627648
2025-07-30,ASIANPAINT,-1,1,0.5315143905627648
2025-07-31,ASIANPAINT,1,1,0.5191962136199498
2025-08-01,ASIANPAINT,1,1,0.5315143905627648
2025-08-04,ASIANPAINT,-1,1,0.5074771082473367
2025-08-05,ASIANPAINT,1,1,0.5191962136199498
2025-08-06,ASIANPAINT,1,1,0.5229673820157562
2025-08-07,ASIANPAINT,-1,1,0.5191962136199498
2025-08-08,ASIANPAINT,1,1,0.5191962136199498
2025-08-11,ASIANPAINT,-1,1,0.5199141110379569
2025-08-12,ASIANPAINT,1,1,0.5191962136199498
2025-08-13,ASIANPAINT,1,1,0.5199141110379569
2025-08-14,ASIANPAINT,1,1,0.5191962136199498
2025-08-18,ASIANPAINT,-1,1,0.5191962136199498
2025-08-19,ASIANPAINT,-1,1,0.5191962136199498
2025-08-20,ASIANPAINT,-1,1,0.5191962136199498
2025-08-21,ASIANPAINT,-1,1,0.5191962136199498
2025-08-22,ASIANPAINT,-1,1,0.5191962136199498
2025-08-25,ASIANPAINT,-1,1,0.5191962136199498
2025-08-26,ASIANPAINT,1,1,0.5191962136199498
2025-08-28,ASIANPAINT,1,1,0.5191962136199498
2025-08-29,ASIANPAINT,1,1,0.5191962136199498
2025-09-01,ASIANPAINT,-1,1,0.5074771082473367
2025-09-02,ASIANPAINT,1,1,0.5191962136199498
2025-09-03,ASIANPAINT,1,1,0.5191962136199498
2025-09-04,ASIANPAINT,1,1,0.5191962136199498
2025-09-05,ASIANPAINT,-1,1,0.5191962136199498
2025-09-08,ASIANPAINT,1,1,0.5191962136199498
2025-09-09,ASIANPAINT,1,1,0.5191962136199498
2025-09-10,ASIANPAINT,1,1,0.5191962136199498
2025-09-11,ASIANPAINT,-1,1,0.5191962136199498
2025-09-12,ASIANPAINT,-1,1,0.5191962136199498
2025-09-15,ASIANPAINT,-1,1,0.5191962136199498
2025-09-16,ASIANPAINT,1,1,0.5191962136199498
2025-09-17,ASIANPAINT,-1,1,0.5191962136199498
2025-09-18,ASIANPAINT,1,1,0.5191962136199498
2025-09-19,ASIANPAINT,1,1,0.5191962136199498
2025-09-22,ASIANPAINT,-1,1,0.5191962136199498
2025-09-23,ASIANPAINT,1,1,0.5191962136199498
2025-09-24,ASIANPAINT,-1,1,0.5191962136199498
2025-09-25,ASIANPAINT,-1,1,0.5191962136199498
2025-09-26,ASIANPAINT,-1,1,0.5199141110379569
2025-09-29,ASIANPAINT,1,1,0.5229673820157562
2025-09-30,ASIANPAINT,-1,1,0.5199141110379569
2025-10-01,ASIANPAINT,1,1,0.5191962136199498
2025-10-03,ASIANPAINT,-1,1,0.5191962136199498
2025-10-06,ASIANPAINT,-1,1,0.5191962136199498
2025-10-07,ASIANPAINT,-1,1,0.5191962136199498
2025-10-08,ASIANPAINT,1,1,0.5315143905627648
2025-10-09,ASIANPAINT,1,1,0.5191962136199498
2025-10-10,ASIANPAINT,1,1,0.5191962136199498
2025-10-13,ASIANPAINT,-1,1,0.5191962136199498
2025-10-14,ASIANPAINT,1,1,0.5191962136199498
2025-10-15,ASIANPAINT,1,1,0.5199141110379569
2025-10-16,ASIANPAINT,1,1,0.5191962136199498
